Layer,Marker,Precision,Recall,F1-Score
1,VerbConjugation,0.68,0.5,0.576271186440678
2,VerbConjugation,0.6060606060606061,0.5882352941176471,0.5970149253731343
3,VerbConjugation,0.4482758620689655,0.38235294117647056,0.41269841269841273
4,VerbConjugation,0.6571428571428571,0.6764705882352942,0.6666666666666666
5,VerbConjugation,0.6388888888888888,0.6764705882352942,0.6571428571428571
6,VerbConjugation,0.7142857142857143,0.29411764705882354,0.4166666666666667
7,VerbConjugation,0.6470588235294118,0.6470588235294118,0.6470588235294118
8,VerbConjugation,0.6296296296296297,0.5,0.5573770491803278
9,VerbConjugation,0.6153846153846154,0.47058823529411764,0.5333333333333333
10,VerbConjugation,0.625,0.4411764705882353,0.5172413793103449
11,VerbConjugation,0.6470588235294118,0.6470588235294118,0.6470588235294118
12,VerbConjugation,0.56,0.4117647058823529,0.4745762711864407
